"U:0","U:1","U:2","V","epsilon","k","nut","p","Face Count","Cell Type"
10.087,0.055112,0,4.5577e-10,20.846,0.35942,0.00055773,-4.6885,6,12
10.089,0.056097,0,4.3755e-10,21.377,0.35824,0.00054033,-4.7118,6,12
10.09,0.057714,0,4.2007e-10,21.908,0.35718,0.0005241,-4.7269,6,12
10.09,0.060216,0,4.0329e-10,22.441,0.35622,0.00050891,-4.7334,6,12
10.09,0.063972,0,3.8718e-10,22.979,0.35537,0.00049463,-4.7318,6,12
10.089,0.069305,0,3.7171e-10,23.527,0.35464,0.00048112,-4.7238,6,12
10.088,0.076715,0,3.5686e-10,24.08,0.35403,0.00046844,-4.7128,6,12
10,0.0088915,0,7.6494e-10,14.745,0.37301,0.00084928,-3.9264,6,12
10.007,0.027732,0,7.3438e-10,14.737,0.37129,0.00084189,-3.965,6,12
10.019,0.037359,0,7.0504e-10,14.829,0.36979,0.00082992,-4.1005,6,12
10.03,0.042062,0,6.7687e-10,14.995,0.36837,0.00081449,-4.2213,6,12
10.039,0.046062,0,6.4983e-10,15.208,0.36696,0.00079691,-4.3008,6,12
10.048,0.048959,0,6.2386e-10,15.449,0.36552,0.00077833,-4.3768,6,12
10.056,0.05046,0,5.9894e-10,15.705,0.36406,0.00075954,-4.4537,6,12
10.063,0.051209,0,5.7501e-10,15.966,0.36259,0.00074106,-4.5202,6,12
10.069,0.051724,0,5.5203e-10,16.229,0.36112,0.00072318,-4.5751,6,12
10.075,0.05221,0,5.2998e-10,16.49,0.35967,0.00070603,-4.6221,6,12
10.079,0.052798,0,5.088e-10,16.749,0.35826,0.00068967,-4.6626,6,12
10.083,0.053643,0,4.8848e-10,17.006,0.3569,0.00067412,-4.6962,6,12
10.087,0.054924,0,4.6896e-10,17.261,0.3556,0.00065933,-4.7228,6,12
10.089,0.056842,0,4.5022e-10,17.514,0.35436,0.00064528,-4.7424,6,12
10.091,0.059634,0,4.3224e-10,17.766,0.35318,0.00063191,-4.7556,6,12
10.093,0.063597,0,4.1497e-10,18.019,0.35208,0.00061914,-4.7631,6,12
10.094,0.069006,0,3.9839e-10,18.274,0.35104,0.00060693,-4.7671,6,12
10.096,0.076204,0,3.8247e-10,18.528,0.35009,0.00059537,-4.7708,6,12
10,0.0079278,0,8.1984e-10,14.701,0.37286,0.00085112,-3.9799,6,12
10.006,0.023949,0,7.8709e-10,14.582,0.37084,0.00084877,-4.0141,6,12
10.016,0.033722,0,7.5564e-10,14.51,0.369,0.00084453,-4.1237,6,12
10.026,0.038984,0,7.2545e-10,14.483,0.36729,0.00083833,-4.235,6,12
10.035,0.042933,0,6.9647e-10,14.493,0.36568,0.0008304,-4.3148,6,12
10.043,0.0458,0,6.6864e-10,14.533,0.36414,0.00082113,-4.3873,6,12
10.051,0.047462,0,6.4193e-10,14.595,0.36263,0.00081091,-4.4598,6,12
10.058,0.048422,0,6.1628e-10,14.672,0.36116,0.00080011,-4.5248,6,12
10.064,0.049138,0,5.9166e-10,14.759,0.35972,0.00078903,-4.5799,6,12
10.069,0.049821,0,5.6802e-10,14.854,0.3583,0.00077787,-4.6277,6,12
10.075,0.05061,0,5.4532e-10,14.953,0.35693,0.00076678,-4.6696,6,12
10.079,0.05166,0,5.2354e-10,15.056,0.3556,0.00075587,-4.7056,6,12
10.083,0.053145,0,5.0262e-10,15.161,0.3543,0.00074519,-4.7358,6,12
10.087,0.055254,0,4.8254e-10,15.268,0.35306,0.0007348,-4.7606,6,12
10.09,0.058199,0,4.6326e-10,15.376,0.35186,0.0007247,-4.7808,6,12
10.093,0.062217,0,4.4475e-10,15.485,0.35072,0.00071489,-4.7976,6,12
10.096,0.067524,0,4.2698e-10,15.597,0.34963,0.00070537,-4.8133,6,12
10.099,0.074373,0,4.0992e-10,15.709,0.34861,0.00069628,-4.8309,6,12
10,0.007062,0,8.7869e-10,14.69,0.37282,0.00085156,-4.0303,6,12
10.005,0.020997,0,8.4358e-10,14.537,0.37068,0.00085067,-4.0616,6,12
10.014,0.030422,0,8.0988e-10,14.407,0.36869,0.00084918,-4.1516,6,12
10.023,0.035832,0,7.7752e-10,14.3,0.36683,0.00084691,-4.2511,6,12
10.031,0.03967,0,7.4645e-10,14.217,0.36509,0.00084379,-4.3288,6,12
10.038,0.042511,0,7.1663e-10,14.155,0.36344,0.00083984,-4.3982,6,12
10.046,0.044323,0,6.88e-10,14.111,0.36186,0.00083515,-4.4671,6,12
10.053,0.045465,0,6.6051e-10,14.083,0.36035,0.00082985,-4.5305,6,12
10.059,0.046337,0,6.3412e-10,14.068,0.3589,0.00082408,-4.5858,6,12
10.065,0.047166,0,6.0879e-10,14.062,0.3575,0.00081797,-4.6345,6,12
10.07,0.048096,0,5.8446e-10,14.065,0.35614,0.00081161,-4.678,6,12
10.075,0.049281,0,5.6111e-10,14.075,0.35484,0.00080511,-4.7168,6,12
10.079,0.050885,0,5.3869e-10,14.09,0.35358,0.00079853,-4.7509,6,12
10.083,0.053079,0,5.1717e-10,14.11,0.35236,0.00079194,-4.781,6,12
10.087,0.056045,0,4.9651e-10,14.134,0.35119,0.00078536,-4.8084,6,12
10.092,0.059969,0,4.7667e-10,14.161,0.35007,0.00077884,-4.8344,6,12
10.096,0.06501,0,4.5763e-10,14.192,0.34899,0.0007724,-4.8613,6,12
10.101,0.071362,0,4.3934e-10,14.224,0.34798,0.00076616,-4.8919,6,12
10,0.006291,0,9.4175e-10,14.687,0.37281,0.00085165,-4.0784,6,12
10.004,0.018432,0,9.0413e-10,14.525,0.37063,0.00085113,-4.1067,6,12
10.012,0.027206,0,8.68e-10,14.376,0.36858,0.00085047,-4.1811,6,12
10.02,0.032598,0,8.3332e-10,14.241,0.36665,0.00084957,-4.2689,6,12
10.027,0.036363,0,8.0003e-10,14.12,0.36483,0.00084836,-4.3433,6,12
10.035,0.039174,0,7.6807e-10,14.013,0.36311,0.0008468,-4.4101,6,12
10.042,0.041082,0,7.3738e-10,13.919,0.36148,0.00084487,-4.4758,6,12
10.048,0.042353,0,7.0792e-10,13.838,0.35993,0.00084258,-4.5375,6,12
10.055,0.043338,0,6.7964e-10,13.767,0.35845,0.00083997,-4.5928,6,12
10.06,0.044263,0,6.5248e-10,13.706,0.35704,0.00083707,-4.6425,6,12
10.066,0.04528,0,6.2641e-10,13.653,0.35568,0.00083393,-4.6878,6,12
10.071,0.046532,0,6.0138e-10,13.608,0.35438,0.00083059,-4.7294,6,12
10.076,0.04817,0,5.7736e-10,13.57,0.35314,0.0008271,-4.7676,6,12
10.08,0.050344,0,5.5429e-10,13.537,0.35194,0.00082348,-4.8033,6,12
10.085,0.053204,0,5.3214e-10,13.51,0.3508,0.00081979,-4.8377,6,12
10.09,0.056892,0,5.1088e-10,13.488,0.3497,0.00081603,-4.8725,6,12
10.095,0.061516,0,4.9047e-10,13.469,0.34865,0.00081224,-4.9098,6,12
10.101,0.067222,0,4.7088e-10,13.455,0.34767,0.00080851,-4.9523,6,12
10,0.005565,0,1.0094e-09,14.687,0.3728,0.00085167,-4.124,6,12
10.004,0.016128,0,9.6902e-10,14.522,0.37061,0.00085123,-4.1491,6,12
10.01,0.02414,0,9.303e-10,14.368,0.36854,0.00085078,-4.2113,6,12
10.017,0.029394,0,8.9313e-10,14.224,0.36658,0.00085028,-4.2884,6,12
10.024,0.033063,0,8.5745e-10,14.09,0.36472,0.0008497,-4.3587,6,12
10.031,0.035799,0,8.2319e-10,13.965,0.36296,0.00084902,-4.4229,6,12
10.038,0.037734,0,7.903e-10,13.851,0.3613,0.0008482,-4.4857,6,12
10.044,0.03908,0,7.5873e-10,13.746,0.35972,0.00084723,-4.5458,6,12
10.05,0.04013,0,7.2841e-10,13.649,0.35822,0.00084612,-4.601,6,12
10.056,0.041104,0,6.9931e-10,13.561,0.35679,0.00084486,-4.6517,6,12
10.062,0.042151,0,6.7137e-10,13.479,0.35542,0.00084346,-4.6989,6,12
10.067,0.043401,0,6.4455e-10,13.405,0.35412,0.00084193,-4.7434,6,12
10.072,0.04499,0,6.188e-10,13.337,0.35288,0.00084028,-4.7857,6,12
10.078,0.047042,0,5.9407e-10,13.275,0.35169,0.00083854,-4.8268,6,12
10.083,0.049677,0,5.7034e-10,13.219,0.35056,0.00083671,-4.868,6,12
10.089,0.052995,0,5.4755e-10,13.167,0.34948,0.00083481,-4.9109,6,12
10.094,0.057062,0,5.2568e-10,13.12,0.34845,0.00083286,-4.9577,6,12
10.101,0.061983,0,5.0467e-10,13.078,0.34748,0.00083092,-5.0106,6,12
10,0.0049229,0,9.0868e-10,14.687,0.3728,0.00085167,-4.1634,6,12
10.003,0.014198,0,8.7238e-10,14.521,0.3706,0.00085125,-4.1856,6,12
10.009,0.02148,0,8.3752e-10,14.366,0.36852,0.00085084,-4.239,6,12
10.015,0.026497,0,8.0406e-10,14.219,0.36655,0.00085043,-4.3075,6,12
10.022,0.030029,0,7.7194e-10,14.081,0.36468,0.00085002,-4.3737,6,12
10.028,0.032657,0,7.4109e-10,13.952,0.36291,0.00084958,-4.4355,6,12
10.035,0.034561,0,7.1148e-10,13.831,0.36123,0.00084911,-4.4959,6,12
10.041,0.035923,0,6.8306e-10,13.717,0.35963,0.00084859,-4.5545,6,12
10.047,0.036988,0,6.5577e-10,13.611,0.35811,0.00084802,-4.6096,6,12
10.053,0.037959,0,6.2957e-10,13.511,0.35667,0.00084739,-4.6612,6,12
10.059,0.038977,0,6.0441e-10,13.418,0.3553,0.0008467,-4.7102,6,12
10.064,0.04016,0,5.8027e-10,13.332,0.35399,0.00084595,-4.7573,6,12
10.07,0.041625,0,5.5708e-10,13.251,0.35275,0.00084513,-4.8032,6,12
10.075,0.043474,0,5.3483e-10,13.175,0.35156,0.00084427,-4.849,6,12
10.081,0.045797,0,5.1346e-10,13.105,0.35043,0.00084335,-4.8959,6,12
10.087,0.048664,0,4.9294e-10,13.039,0.34935,0.00084239,-4.9455,6,12
10.094,0.052104,0,4.7325e-10,12.979,0.34833,0.0008414,-4.9998,6,12
10.101,0.056195,0,4.5434e-10,12.923,0.34738,0.00084041,-5.0608,6,12
10,0.0043226,0,1.1077e-09,14.686,0.3728,0.00085167,-4.2002,6,12
10.003,0.012444,0,1.0634e-09,14.521,0.3706,0.00085125,-4.2199,6,12
10.007,0.018975,0,1.0209e-09,14.365,0.36851,0.00085084,-4.2661,6,12
10.013,0.023661,0,9.8016e-10,14.217,0.36654,0.00085046,-4.3272,6,12
10.02,0.027008,0,9.41e-10,14.078,0.36466,0.00085009,-4.389,6,12
10.026,0.029496,0,9.034e-10,13.947,0.36288,0.00084973,-4.4484,6,12
10.032,0.031326,0,8.6731e-10,13.824,0.36119,0.00084937,-4.5067,6,12
10.038,0.032658,0,8.3266e-10,13.707,0.35959,0.00084901,-4.564,6,12
10.044,0.033697,0,7.9939e-10,13.597,0.35806,0.00084864,-4.6189,6,12
10.05,0.034621,0,7.6745e-10,13.493,0.35661,0.00084826,-4.6713,6,12
10.056,0.035561,0,7.3679e-10,13.395,0.35523,0.00084787,-4.722,6,12
10.061,0.036622,0,7.0735e-10,13.302,0.35392,0.00084745,-4.7715,6,12
10.067,0.037898,0,6.7909e-10,13.215,0.35267,0.00084702,-4.8208,6,12
10.073,0.039473,0,6.5196e-10,13.133,0.35148,0.00084658,-4.8709,6,12
10.079,0.041407,0,6.2591e-10,13.056,0.35035,0.00084611,-4.9229,6,12
10.086,0.043744,0,6.009e-10,12.984,0.34928,0.00084563,-4.9784,6,12
10.093,0.046485,0,5.769e-10,12.916,0.34826,0.00084514,-5.0391,6,12
10.101,0.049683,0,5.5385e-10,12.853,0.34731,0.00084466,-5.1066,6,12
10,0.0036951,0,1.3503e-09,14.686,0.3728,0.00085167,-4.239,6,12
10.002,0.010615,0,1.2964e-09,14.521,0.3706,0.00085124,-4.2563,6,12
10.006,0.016282,0,1.2446e-09,14.365,0.36851,0.00085084,-4.296,6,12
10.012,0.020497,0,1.1948e-09,14.217,0.36653,0.00085046,-4.3498,6,12
10.017,0.023562,0,1.1471e-09,14.078,0.36465,0.0008501,-4.407,6,12
10.023,0.025838,0,1.1013e-09,13.946,0.36287,0.00084975,-4.4635,6,12
10.029,0.027521,0,1.0573e-09,13.821,0.36117,0.00084943,-4.5197,6,12
10.035,0.028756,0,1.015e-09,13.703,0.35956,0.00084911,-4.5755,6,12
10.041,0.029705,0,9.7447e-10,13.592,0.35803,0.00084881,-4.6302,6,12
10.047,0.030515,0,9.3553e-10,13.486,0.35658,0.00084851,-4.6835,6,12
10.053,0.031301,0,8.9816e-10,13.386,0.35519,0.00084822,-4.7358,6,12
10.059,0.032148,0,8.6227e-10,13.292,0.35388,0.00084793,-4.7879,6,12
10.065,0.033129,0,8.2782e-10,13.202,0.35262,0.00084765,-4.8406,6,12
10.071,0.034301,0,7.9475e-10,13.117,0.35143,0.00084738,-4.8949,6,12
10.077,0.0357,0,7.6299e-10,13.037,0.3503,0.00084711,-4.9518,6,12
10.084,0.03734,0,7.3251e-10,12.962,0.34923,0.00084684,-5.0127,6,12
10.092,0.0392,0,7.0324e-10,12.89,0.34821,0.00084658,-5.079,6,12
10.1,0.041308,0,6.7515e-10,12.823,0.34726,0.00084635,-5.1521,6,12
10,0.0030368,0,1.646e-09,14.686,0.37279,0.00085167,-4.2787,6,12
10.002,0.0087031,0,1.5803e-09,14.521,0.37059,0.00085124,-4.2937,6,12
10.005,0.013404,0,1.5171e-09,14.364,0.36851,0.00085084,-4.3277,6,12
10.01,0.017001,0,1.4565e-09,14.217,0.36652,0.00085045,-4.375,6,12
10.016,0.019659,0,1.3983e-09,14.077,0.36464,0.00085009,-4.4273,6,12
10.021,0.021626,0,1.3425e-09,13.945,0.36285,0.00084975,-4.4807,6,12
10.027,0.023071,0,1.2888e-09,13.82,0.36116,0.00084942,-4.5347,6,12
10.032,0.024116,0,1.2373e-09,13.702,0.35954,0.00084912,-4.5891,6,12
10.038,0.024884,0,1.1879e-09,13.59,0.35801,0.00084882,-4.6434,6,12
10.044,0.025488,0,1.1404e-09,13.484,0.35655,0.00084855,-4.6974,6,12
10.05,0.026016,0,1.0949e-09,13.384,0.35517,0.00084828,-4.7513,6,12
10.056,0.026533,0,1.0511e-09,13.288,0.35385,0.00084803,-4.8058,6,12
10.062,0.027087,0,1.0091e-09,13.198,0.3526,0.00084779,-4.8615,6,12
10.068,0.027708,0,9.6881e-10,13.112,0.3514,0.00084757,-4.9194,6,12
10.075,0.028407,0,9.301e-10,13.031,0.35027,0.00084735,-4.9805,6,12
10.082,0.029174,0,8.9294e-10,12.954,0.3492,0.00084715,-5.0457,6,12
10.09,0.02997,0,8.5726e-10,12.882,0.34818,0.00084697,-5.1161,6,12
10.098,0.030805,0,8.2301e-10,12.814,0.34723,0.00084682,-5.1927,6,12
10,0.002346,0,2.0065e-09,14.686,0.37279,0.00085166,-4.3174,6,12
10.002,0.0067039,0,1.9264e-09,14.521,0.37059,0.00085124,-4.3304,6,12
10.005,0.010334,0,1.8494e-09,14.364,0.3685,0.00085083,-4.3597,6,12
10.009,0.01316,0,1.7755e-09,14.216,0.36652,0.00085045,-4.4013,6,12
10.014,0.015262,0,1.7046e-09,14.077,0.36464,0.00085008,-4.449,6,12
10.019,0.016795,0,1.6365e-09,13.945,0.36285,0.00084974,-4.4992,6,12
10.024,0.017884,0,1.5711e-09,13.82,0.36115,0.00084942,-4.551,6,12
10.03,0.018622,0,1.5083e-09,13.701,0.35953,0.00084911,-4.604,6,12
10.035,0.019092,0,1.4481e-09,13.589,0.358,0.00084881,-4.6578,6,12
10.041,0.019371,0,1.3902e-09,13.483,0.35654,0.00084854,-4.7121,6,12
10.047,0.019517,0,1.3346e-09,13.382,0.35515,0.00084828,-4.7671,6,12
10.053,0.019571,0,1.2813e-09,13.287,0.35383,0.00084803,-4.8233,6,12
10.059,0.019553,0,1.2301e-09,13.196,0.35258,0.0008478,-4.8813,6,12
10.066,0.01947,0,1.181e-09,13.111,0.35138,0.00084758,-4.9416,6,12
10.072,0.019312,0,1.1338e-09,13.029,0.35025,0.00084738,-5.0052,6,12
10.08,0.019051,0,1.0885e-09,12.952,0.34917,0.00084719,-5.0726,6,12
10.087,0.018636,0,1.045e-09,12.879,0.34815,0.00084703,-5.1447,6,12
10.095,0.018063,0,1.0033e-09,12.811,0.3472,0.00084689,-5.2221,6,12
10,0.0016168,0,2.446e-09,14.686,0.37279,0.00085166,-4.3521,6,12
10.002,0.0045919,0,2.3483e-09,14.521,0.37059,0.00085124,-4.3635,6,12
10.004,0.007038,0,2.2544e-09,14.364,0.3685,0.00085083,-4.3892,6,12
10.008,0.0089329,0,2.1644e-09,14.216,0.36652,0.00085044,-4.4263,6,12
10.012,0.010315,0,2.0779e-09,14.076,0.36463,0.00085008,-4.4701,6,12
10.017,0.011267,0,1.9949e-09,13.944,0.36284,0.00084973,-4.5174,6,12
10.022,0.011862,0,1.9152e-09,13.819,0.36114,0.00084941,-4.567,6,12
10.028,0.012158,0,1.8387e-09,13.701,0.35952,0.0008491,-4.6185,6,12
10.033,0.0122,0,1.7652e-09,13.589,0.35799,0.0008488,-4.6715,6,12
10.038,0.012027,0,1.6947e-09,13.482,0.35653,0.00084852,-4.7255,6,12
10.044,0.011667,0,1.627e-09,13.382,0.35514,0.00084826,-4.7807,6,12
10.05,0.011132,0,1.562e-09,13.286,0.35382,0.00084802,-4.8374,6,12
10.056,0.010421,0,1.4996e-09,13.195,0.35256,0.00084778,-4.8959,6,12
10.062,0.0095199,0,1.4396e-09,13.109,0.35136,0.00084756,-4.9567,6,12
10.069,0.0084032,0,1.3821e-09,13.028,0.35023,0.00084736,-5.0202,6,12
10.076,0.0070344,0,1.3269e-09,12.951,0.34915,0.00084717,-5.087,6,12
10.083,0.00536,0,1.2739e-09,12.877,0.34813,0.000847,-5.1573,6,12
10.091,0.0033697,0,1.223e-09,12.809,0.34717,0.00084686,-5.2314,6,12
10,0.0008291,0,2.9817e-09,14.686,0.37279,0.00085166,-4.3783,6,12
10.001,0.0023036,0,2.8626e-09,14.52,0.37059,0.00085123,-4.3885,6,12
10.004,0.0034265,0,2.7482e-09,14.364,0.3685,0.00085083,-4.4118,6,12
10.007,0.0042222,0,2.6384e-09,14.216,0.36651,0.00085044,-4.446,6,12
10.011,0.0047112,0,2.533e-09,14.076,0.36463,0.00085007,-4.487,6,12
10.016,0.0049226,0,2.4318e-09,13.944,0.36284,0.00084973,-4.5319,6,12
10.021,0.0048809,0,2.3346e-09,13.819,0.36114,0.0008494,-4.5797,6,12
10.026,0.0046015,0,2.2413e-09,13.7,0.35952,0.00084909,-4.6296,6,12
10.031,0.004094,0,2.1518e-09,13.588,0.35798,0.00084879,-4.6812,6,12
