Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,V,epsilon,k,nut,p
internalMesh,147,-0.015338,0.003570,0.000000,0.015748,10.022800,0.035832,0.000000,10.022864,0.000000,14.300000,0.366831,0.000847,-4.251090
internalMesh,148,-0.013966,0.003570,0.000000,0.014415,10.030900,0.039670,0.000000,10.030978,0.000000,14.216700,0.365086,0.000844,-4.328830
internalMesh,149,-0.012648,0.003570,0.000000,0.013142,10.038500,0.042511,0.000000,10.038589,0.000000,14.154700,0.363435,0.000840,-4.398220
internalMesh,150,-0.011383,0.003570,0.000000,0.011929,10.045900,0.044323,0.000000,10.045999,0.000000,14.111100,0.361862,0.000835,-4.467100
internalMesh,151,-0.010168,0.003570,0.000000,0.010777,10.052800,0.045465,0.000000,10.052903,0.000000,14.083000,0.360353,0.000830,-4.530480
internalMesh,152,-0.009002,0.003570,0.000000,0.009684,10.059000,0.046337,0.000000,10.059107,0.000000,14.067500,0.358900,0.000824,-4.585760
internalMesh,153,-0.007883,0.003570,0.000000,0.008653,10.064700,0.047166,0.000000,10.064811,0.000000,14.062300,0.357498,0.000818,-4.634480
internalMesh,154,-0.006808,0.003570,0.000000,0.007687,10.069900,0.048096,0.000000,10.070014,0.000000,14.065300,0.356145,0.000812,-4.678040
internalMesh,155,-0.005776,0.003570,0.000000,0.006790,10.074800,0.049281,0.000000,10.074920,0.000000,14.075000,0.354837,0.000805,-4.716750
internalMesh,156,-0.004786,0.003570,0.000000,0.005970,10.079300,0.050885,0.000000,10.079429,0.000000,14.090200,0.353576,0.000799,-4.750860
internalMesh,157,-0.003835,0.003570,0.000000,0.005239,10.083500,0.053079,0.000000,10.083639,0.000000,14.110000,0.352360,0.000792,-4.781040
internalMesh,158,-0.002922,0.003570,0.000000,0.004613,10.087500,0.056045,0.000000,10.087655,0.000000,14.133700,0.351190,0.000785,-4.808360
internalMesh,159,-0.002045,0.003570,0.000000,0.004114,10.091500,0.059969,0.000000,10.091679,0.000000,14.161000,0.350066,0.000779,-4.834350
internalMesh,160,-0.001204,0.003570,0.000000,0.003767,10.095700,0.065010,0.000000,10.095909,0.000000,14.191700,0.348993,0.000772,-4.861260
