"Cell Type","U:0","U:1","U:2","V","epsilon","k","nut","p"
12,9.9981403,0.041188002,0,5.79717e-10,25.1677,0.395004,0.00055795902,-3.93258
12,10.0222,0.026897101,0,5.5655502e-10,35.8438,0.409931,0.00042194,-3.8002501
12,10.0523,0.0099463305,0,5.3431898e-10,42.8335,0.408986,0.00035146001,-3.96611
12,10.0698,0.0198399,0,5.12971e-10,47.957001,0.40383101,0.00030604799,-4.10075
12,10.0769,0.0364452,0,4.92476e-10,52.669102,0.400058,0.00027348401,-4.2090702
12,10.0773,0.046374701,0,4.7280002e-10,57.594898,0.39903399,0.00024881601,-4.3289299
12,10.0709,0.050446,0,4.5390999e-10,63.019501,0.40082499,0.00022944401,-4.43154
12,10.0586,0.0516413,0,4.35775e-10,69.070198,0.405128,0.00021386299,-4.5062599
12,10.0418,0.051560398,0,4.1836401e-10,75.766998,0.41150901,0.00020115099,-4.5633202
12,10.0218,0.050921101,0,4.0164899e-10,83.059097,0.419505,0.000190691,-4.6103301
12,9.9994698,0.050119899,0,3.8560199e-10,90.855499,0.42867899,0.000182036,-4.6483598
12,9.9753199,0.049416099,0,3.7019601e-10,99.047401,0.43865299,0.00017484,-4.6764002
12,9.9497604,0.048982698,0,3.5540501e-10,107.525,0.44911501,0.00016883,-4.6936002
12,9.9230499,0.0490124,0,3.4120601e-10,116.188,0.45982701,0.000163783,-4.69871
12,9.8951797,0.049667601,0,3.27573e-10,124.963,0.47062799,0.00015952101,-4.6899099
12,9.8663101,0.051667899,0,3.1448599e-10,133.812,0.481419,0.000155881,-4.6631799
12,9.8360395,0.055057898,0,3.0192099e-10,142.79601,0.492309,0.000152757,-4.6192598
12,9.8060503,0.064187698,0,2.89858e-10,151.996,0.503124,0.00014988599,-4.5559502
12,9.9967499,0.00544693,0,6.2132499e-10,17.493099,0.37955201,0.000741172,-3.7890401
12,10.0082,0.0255365,0,5.9650102e-10,21.2117,0.38455299,0.00062744902,-3.71136
12,10.0339,0.040521398,0,5.7266902e-10,24.5599,0.38602901,0.00054607901,-3.9960001
12,10.0523,0.051621199,0,5.4978899e-10,27.3951,0.38501799,0.000487004,-4.1743898
12,10.0635,0.057938602,0,5.2782301e-10,29.9014,0.38306701,0.000441674,-4.2627902
12,10.072,0.059643101,0,5.0673499e-10,32.2463,0.38112301,0.00040540801,-4.3547802
12,10.0777,0.059198398,0,4.8648902e-10,34.5494,0.379639,0.000375442,-4.44384
12,10.08,0.058292501,0,4.6705201e-10,36.893902,0.37881199,0.00035005499,-4.5136199
12,10.0795,0.057394698,0,4.4839199e-10,39.330898,0.37869799,0.00032816699,-4.5684099
12,10.0768,0.056575499,0,4.3047699e-10,41.885601,0.379269,0.00030908201,-4.6142602
12,10.0724,0.055902001,0,4.13278e-10,44.565102,0.38045999,0.00029232501,-4.652
12,10.0662,0.055482902,0,3.9676601e-10,47.365101,0.38218701,0.00027754699,-4.68051
12,10.0586,0.055445898,0,3.8091399e-10,50.2757,0.38437,0.00026447399,-4.6989598
