"Cell Type","U:0","U:1","U:2","V","Volume","epsilon","k","nut","p"
12,5.39737,-0.0123482,-1.56653e-18,1.53019e-09,1.530197e-09,10.7058,0.328784,0.000908748,17.7733
12,5.38294,-0.0109542,-3.86105e-21,1.5379e-09,1.537903e-09,10.3469,0.321907,0.000901349,17.8172
12,5.36957,-0.010524,-3.16115e-18,1.5456e-09,1.545587e-09,10.0304,0.315728,0.000894437,17.8577
12,5.35711,-0.0108232,0,1.55329e-09,1.553288e-09,9.75271,0.310208,0.00088802,17.895
12,5.34546,-0.0116507,3.18301e-18,1.56097e-09,1.560973e-09,9.51026,0.305305,0.000882098,17.9293
12,5.33451,-0.0128369,3.19055e-18,1.56865e-09,1.568651e-09,9.29951,0.300971,0.000876659,17.9607
12,5.32417,-0.0142426,0,1.57631e-09,1.576311e-09,9.11704,0.297157,0.000871689,17.9894
12,5.31438,-0.0157557,0,1.58396e-09,1.58396e-09,8.95962,0.293815,0.000867166,18.0156
12,5.30508,-0.0172888,-3.20758e-18,1.59161e-09,1.591606e-09,8.82425,0.290897,0.000863066,18.0394
12,5.29621,-0.0187754,3.7973e-21,1.59923e-09,1.599237e-09,8.70819,0.288357,0.000859362,18.0609
12,5.28774,-0.0201676,3.21499e-18,1.60685e-09,1.606843e-09,8.60894,0.286152,0.000856026,18.0803
12,5.27963,-0.0214324,-6.43222e-18,1.61444e-09,1.614448e-09,8.52428,0.284243,0.000853028,18.0978
12,5.27185,-0.0225491,-3.21691e-18,1.62202e-09,1.622022e-09,8.45222,0.282592,0.00085034,18.1134
12,5.26438,-0.0235071,0,1.62958e-09,1.629583e-09,8.39104,0.281169,0.000847933,18.1273
12,5.25721,-0.0243036,-3.21999e-18,1.63713e-09,1.637129e-09,8.33922,0.279943,0.000845779,18.1395
12,5.25031,-0.0249414,0,1.64465e-09,1.644648e-09,8.29545,0.278889,0.000843851,18.1502
12,5.24368,-0.0254277,0,1.65214e-09,1.652137e-09,8.25862,0.277985,0.000842125,18.1595
12,5.23729,-0.0257728,-3.22281e-18,1.65961e-09,1.659622e-09,8.22776,0.27721,0.000840577,18.1675
12,5.23115,-0.0259886,-3.22217e-18,1.66706e-09,1.667056e-09,8.20205,0.276547,0.000839186,18.1742
12,5.22524,-0.0260885,0,1.67448e-09,1.674481e-09,8.1808,0.275982,0.000837933,18.1797
12,5.21956,-0.0260858,3.21988e-18,1.68187e-09,1.681868e-09,8.16342,0.275503,0.0008368,18.1842
